fips_code,County,StateName,White_Pct,total_pop,Pct_Margin,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,less_than_hs,only_hs,associates,bachelor_or_more,less_than_hs_pct,only_hs_pct,associates_pct,bachelor_or_more_pct,male,female,WA_male,WA_female,BA_male,BA_female,IA_male,IA_female,AA_male,AA_female,NA_male,NA_female,TOM_male,TOM_female,WAC_male,WAC_female,BAC_male,BAC_female,Young_Pct,Mid_Pct,Old_Pct,Elderly_Pct,,,Predicted margin,,
37093,Hoke County,NorthCarolina,0.4902958323,55234,-11.24,15627,9227,6293,107,16800,9915,6721,164,17847,9608,7676,563,4769,9475,13584,6272,14,27.8,39.8,18.4,27240,27994,13712,13369,9594,10000,2351,2667,326,491,113,109,1144,1358,14661,14491,10265,10832,0.3112696583,0.2052944119,0.1509146673,0.07378243752,,,329.5678237,,-1932
37095,Hyde County,NorthCarolina,0.676,4937,14.34,2469,1241,1212,16,2358,1157,1183,18,2273,956,1275,42,709,1602,1182,363,18.4,41.5,30.7,9.4,2638,2299,1790,1672,771,549,25,14,9,24,0,1,43,39,1830,1707,790,567,0.2530388632,0.2200821777,0.2214518062,0.1516863551,,,123.5677732,,319
37097,Iredell County,NorthCarolina,0.822552611,181806,37.77,73162,27318,45148,696,75762,25952,49071,739,80727,24441,54164,2122,13015,33120,39423,32473,11,28.1,33.4,27.5,89488,92318,74051,75494,10622,11807,497,492,2420,2580,67,46,1831,1899,75740,77230,11715,12964,0.2374433865,0.230332154,0.1950332535,0.12727804,,,27199.61351,,29723
37099,Jackson County,NorthCarolina,0.857,43938,12.27,16866,8766,7854,246,16556,8052,8224,280,18004,7564,9706,734,3141,7205,8407,8226,11.6,26.7,31.2,30.5,25367,26259,23189,23984,893,910,421,432,132,169,34,25,698,739,23868,24688,1086,1132,0.3324215485,0.1733150976,0.1955018616,0.1499126206,,,2495.504885,,2142
37101,Johnston County,NorthCarolina,0.788032808,209339,31.44,71017,26795,43622,600,76021,27052,48206,763,84553,28153,54082,2318,17373,37055,44435,27592,13.7,29.3,35.1,21.8,102577,106762,81271,83695,16977,18680,999,971,858,1114,115,103,2357,2199,83405,85678,18321,19959,0.245192628,0.2379005639,0.1804907002,0.1012167572,,,28701.82091,,25929
37103,Jones County,NorthCarolina,0.664,9419,18.04,5227,2378,2817,32,5192,2335,2825,32,5039,2041,2941,57,1337,2213,2771,950,18.4,30.4,38.1,13.1,13898,14837,10121,10683,3433,3820,49,58,81,93,2,3,212,180,10310,10844,3560,3937,0.226182249,0.1975515846,0.2302300326,0.1707967223,,,377.3027592,,900
37105,Lee County,NorthCarolina,0.747,61779,13.41,23788,10784,12775,229,23800,10577,13000,223,24676,10380,13625,671,6663,10936,14225,8421,16.6,27.2,35.3,20.9,80840,83702,58022,58389,17413,20325,323,274,3614,3246,77,70,1391,1398,59282,59616,18083,21029,0.2567150113,0.2060404559,0.1866502609,0.135434665,,,7138.305461,,3245
37107,Lenoir County,NorthCarolina,0.5542547677,55949,3.73,26897,13378,13401,118,27247,13350,13763,134,25500,11752,13354,394,7800,12800,13430,5785,19.6,32.1,33.7,14.5,26737,29212,15282,15728,10586,12603,186,171,178,235,63,45,442,430,15665,16089,10863,12882,0.2352644243,0.1974979388,0.2123555047,0.1574094328,,,-113.1316614,,1602
37109,Lincoln County,NorthCarolina,0.915,86111,48.86,35798,11713,23631,454,36532,10980,25184,368,39449,9836,28653,960,8357,18013,19152,12375,14.4,31.1,33.1,21.4,7995,5029,4986,3812,2834,1077,44,28,32,15,1,0,98,97,5076,3901,2878,1123,0.2270516363,0.2362413583,0.2110133987,0.1304979441,,,17084.01041,,18817
37113,Macon County,NorthCarolina,0.953,35285,42.65,17238,6620,10317,301,16750,5692,10817,241,17336,4841,12035,460,2938,7914,8768,6252,11.4,30.6,33.9,24.2,8218,9850,1579,1551,6442,8080,19,30,71,37,2,1,105,151,1663,1662,6499,8173,0.2031370001,0.1755922491,0.2296183612,0.2337389969,,,8214.014286,,7194
